Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
220,Semi Ojeleye\ojelese01,PF,26,BOS,46,9,17.7,1.6,4.0,.400,1.1,2.9,.388,0.5,1.1,.431,.541,0.5,0.7,.750,0.6,2.1,2.7,0.7,0.2,0.0,0.4,1.1,4.9
221,Wesley Matthews\matthwe02,SG,34,LAL,47,7,20.0,1.5,4.4,.340,1.1,3.5,.331,0.3,0.9,.372,.471,0.6,0.7,.857,0.3,1.3,1.6,1.0,0.7,0.3,0.4,1.5,4.8
222,Dwight Powell\poweldw01,C,29,DAL,41,8,14.5,1.6,3.0,.533,0.1,0.5,.250,1.5,2.5,.588,.553,1.5,1.9,.779,1.2,2.2,3.4,0.8,0.6,0.3,0.6,2.2,4.8
223,Solomon Hill\hillso01,PF,29,ATL,55,10,20.5,1.6,4.3,.374,1.1,3.2,.341,0.5,1.1,.468,.500,0.4,0.5,.767,0.6,2.1,2.7,1.0,0.7,0.2,0.6,1.6,4.7
224,Andre Iguodala\iguodan01,SF,37,MIA,50,2,21.2,1.5,4.0,.373,1.0,3.1,.320,0.5,1.0,.542,.495,0.4,0.7,.636,0.6,3.1,3.7,2.0,1.0,0.5,1.0,1.4,4.4
225,Grant Williams\willigr01,PF,22,BOS,48,8,18.6,1.6,3.7,.438,0.8,2.0,.383,0.9,1.7,.500,.540,0.4,0.8,.528,0.8,2.1,2.9,1.0,0.6,0.4,0.9,2.6,4.4
226,Sekou Doumbouya\doumbse01,PF,20,DET,46,3,13.3,1.5,4.2,.345,0.5,1.9,.241,1.0,2.3,.430,.399,0.7,0.9,.738,0.5,1.6,2.1,0.6,0.4,0.1,0.7,1.6,4.0
227,Obi Toppin\toppiob01,PF,22,NYK,47,0,11.3,1.7,3.4,.481,0.4,1.4,.277,1.3,2.1,.619,.537,0.3,0.5,.727,0.4,1.8,2.2,0.5,0.3,0.2,0.4,1.0,4.0
228,Kevon Looney\looneke01,C,24,GSW,45,18,16.4,1.6,2.9,.557,0.1,0.3,.286,1.5,2.6,.590,.573,0.5,0.7,.700,1.7,2.6,4.3,1.9,0.4,0.4,0.6,2.0,3.8
229,Cody Martin\martico01,SF,25,CHO,43,3,14.6,1.5,3.4,.442,0.3,1.1,.255,1.2,2.3,.530,.483,0.5,0.8,.571,0.8,1.7,2.6,1.4,0.6,0.2,0.7,0.9,3.8
230,Mychal Mulder\muldemy01,PG,26,GSW,45,2,10.0,1.2,3.0,.409,1.0,2.6,.368,0.3,0.4,.650,.566,0.2,0.4,.579,0.0,0.8,0.8,0.4,0.2,0.2,0.2,0.7,3.7
231,Matisse Thybulle\thybuma01,SG,23,PHI,53,6,19.4,1.5,3.5,.412,0.7,2.2,.307,0.8,1.4,.575,.505,0.2,0.3,.500,0.5,1.4,1.9,0.9,1.5,1.0,0.4,2.0,3.7
232,Thanasis Antetokounmpo\antetth01,SF,28,MIL,43,2,11.0,1.5,2.8,.525,0.2,0.6,.292,1.3,2.3,.582,.553,0.4,0.9,.462,1.1,1.4,2.5,0.9,0.4,0.2,0.9,1.4,3.6
233,Jevon Carter\carteje01,PG,25,PHO,43,0,10.8,1.3,3.2,.410,0.8,2.3,.367,0.5,1.0,.512,.540,0.0,0.0,1.000,0.3,1.2,1.5,1.2,0.4,0.2,0.2,1.0,3.5
234,Stanley Johnson\johnsst04,PF,24,TOR,49,6,14.6,1.1,2.8,.399,0.6,1.7,.354,0.5,1.1,.464,.504,0.4,0.5,.792,0.4,1.9,2.3,1.2,0.7,0.3,0.7,1.8,3.2
235,Miye Oni\onimi01,SG,23,UTA,40,0,8.9,0.7,2.0,.354,0.6,1.8,.343,0.1,0.2,.444,.506,0.1,0.2,.833,0.5,1.2,1.7,0.4,0.2,0.2,0.3,1.1,2.1
